repository,risk_score,priority,stack,governance_gap_count,secret_files,unpinned_actions,unpinned_dependencies,missing_lockfiles,docker_root_risk,has_tests,recommended_actions
pr-agent,39,P1,"python+container",3,0,11,2,0,4,true,"Pin GitHub Actions to immutable commit SHAs. | Replace wildcard/unpinned dependency specs with controlled version ranges or exact pins. | Set non-root USER in Dockerfiles. | Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows)."
adk-samples,39,P1,"node+python+go+jvm+container+terraform",2,0,14,5,1,6,true,"Pin GitHub Actions to immutable commit SHAs. | Replace wildcard/unpinned dependency specs with controlled version ranges or exact pins. | Commit lockfiles for all package manager roots and enforce frozen-lockfile installs. | Set non-root USER in Dockerfiles. | Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows)."
engine-core,38,P1,"node+container",5,0,0,0,0,3,false,"Set non-root USER in Dockerfiles. | Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows). | Add at least smoke/unit tests and enforce them in CI."
test-with-actions,37,P1,"unknown",3,0,20,0,0,0,false,"Pin GitHub Actions to immutable commit SHAs. | Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows). | Add at least smoke/unit tests and enforce them in CI."
exercise-toolkit,37,P1,"unknown",3,0,22,0,0,0,false,"Pin GitHub Actions to immutable commit SHAs. | Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows). | Add at least smoke/unit tests and enforce them in CI."
the-treasury,32,P2,"node",6,0,0,0,1,0,false,"Replace workspace coupling with published internal package versions. | Commit lockfiles for all package manager roots and enforce frozen-lockfile installs. | Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows). | Add at least smoke/unit tests and enforce them in CI."
the-sanctuary,32,P2,"node",6,0,0,0,1,0,false,"Replace workspace coupling with published internal package versions. | Commit lockfiles for all package manager roots and enforce frozen-lockfile installs. | Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows). | Add at least smoke/unit tests and enforce them in CI."
the-observatory,32,P2,"node",6,0,0,0,1,0,false,"Replace workspace coupling with published internal package versions. | Commit lockfiles for all package manager roots and enforce frozen-lockfile installs. | Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows). | Add at least smoke/unit tests and enforce them in CI."
the-nexus,32,P2,"node",6,0,0,0,1,0,false,"Replace workspace coupling with published internal package versions. | Commit lockfiles for all package manager roots and enforce frozen-lockfile installs. | Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows). | Add at least smoke/unit tests and enforce them in CI."
the-lighthouse,32,P2,"node",6,0,0,0,1,0,false,"Replace workspace coupling with published internal package versions. | Commit lockfiles for all package manager roots and enforce frozen-lockfile installs. | Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows). | Add at least smoke/unit tests and enforce them in CI."
the-library,32,P2,"node",6,0,0,0,1,0,false,"Replace workspace coupling with published internal package versions. | Commit lockfiles for all package manager roots and enforce frozen-lockfile installs. | Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows). | Add at least smoke/unit tests and enforce them in CI."
the-ice-box,32,P2,"node",6,0,0,0,1,0,false,"Replace workspace coupling with published internal package versions. | Commit lockfiles for all package manager roots and enforce frozen-lockfile installs. | Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows). | Add at least smoke/unit tests and enforce them in CI."
the-hive,32,P2,"node",6,0,0,0,1,0,false,"Replace workspace coupling with published internal package versions. | Commit lockfiles for all package manager roots and enforce frozen-lockfile installs. | Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows). | Add at least smoke/unit tests and enforce them in CI."
the-foundation,32,P2,"node",6,0,0,0,1,0,false,"Replace workspace coupling with published internal package versions. | Commit lockfiles for all package manager roots and enforce frozen-lockfile installs. | Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows). | Add at least smoke/unit tests and enforce them in CI."
the-forge,32,P2,"node",6,0,0,0,1,0,false,"Replace workspace coupling with published internal package versions. | Commit lockfiles for all package manager roots and enforce frozen-lockfile installs. | Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows). | Add at least smoke/unit tests and enforce them in CI."
the-dr-ai,32,P2,"node",6,0,0,0,1,0,false,"Replace workspace coupling with published internal package versions. | Commit lockfiles for all package manager roots and enforce frozen-lockfile installs. | Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows). | Add at least smoke/unit tests and enforce them in CI."
the-cryptex,32,P2,"node",6,0,0,0,1,0,false,"Replace workspace coupling with published internal package versions. | Commit lockfiles for all package manager roots and enforce frozen-lockfile installs. | Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows). | Add at least smoke/unit tests and enforce them in CI."
the-citadel,32,P2,"node",6,0,0,0,1,0,false,"Replace workspace coupling with published internal package versions. | Commit lockfiles for all package manager roots and enforce frozen-lockfile installs. | Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows). | Add at least smoke/unit tests and enforce them in CI."
the-agora,32,P2,"node",6,0,0,0,1,0,false,"Replace workspace coupling with published internal package versions. | Commit lockfiles for all package manager roots and enforce frozen-lockfile installs. | Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows). | Add at least smoke/unit tests and enforce them in CI."
solarscene-ai,32,P2,"node",6,0,0,0,1,0,false,"Replace workspace coupling with published internal package versions. | Commit lockfiles for all package manager roots and enforce frozen-lockfile installs. | Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows). | Add at least smoke/unit tests and enforce them in CI."
shared-core,32,P2,"node",6,0,0,0,1,0,false,"Replace workspace coupling with published internal package versions. | Commit lockfiles for all package manager roots and enforce frozen-lockfile installs. | Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows). | Add at least smoke/unit tests and enforce them in CI."
setup-jfrog-cli,32,P2,"node",4,0,14,0,0,0,true,"Pin GitHub Actions to immutable commit SHAs. | Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows)."
serenity-ai,32,P2,"node",6,0,0,0,1,0,false,"Replace workspace coupling with published internal package versions. | Commit lockfiles for all package manager roots and enforce frozen-lockfile installs. | Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows). | Add at least smoke/unit tests and enforce them in CI."
sentinel-ai,32,P2,"node",6,0,0,0,1,0,false,"Replace workspace coupling with published internal package versions. | Commit lockfiles for all package manager roots and enforce frozen-lockfile installs. | Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows). | Add at least smoke/unit tests and enforce them in CI."
renik-ai,32,P2,"node",6,0,0,0,1,0,false,"Replace workspace coupling with published internal package versions. | Commit lockfiles for all package manager roots and enforce frozen-lockfile installs. | Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows). | Add at least smoke/unit tests and enforce them in CI."
queen-ai,32,P2,"node",6,0,0,0,1,0,false,"Replace workspace coupling with published internal package versions. | Commit lockfiles for all package manager roots and enforce frozen-lockfile installs. | Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows). | Add at least smoke/unit tests and enforce them in CI."
prometheus-ai,32,P2,"node",6,0,0,0,1,0,false,"Replace workspace coupling with published internal package versions. | Commit lockfiles for all package manager roots and enforce frozen-lockfile installs. | Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows). | Add at least smoke/unit tests and enforce them in CI."
porter-family-ai,32,P2,"node",6,0,0,0,1,0,false,"Replace workspace coupling with published internal package versions. | Commit lockfiles for all package manager roots and enforce frozen-lockfile installs. | Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows). | Add at least smoke/unit tests and enforce them in CI."
oracle-ai,32,P2,"node",6,0,0,0,1,0,false,"Replace workspace coupling with published internal package versions. | Commit lockfiles for all package manager roots and enforce frozen-lockfile installs. | Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows). | Add at least smoke/unit tests and enforce them in CI."
nexus-ai,32,P2,"node",6,0,0,0,1,0,false,"Replace workspace coupling with published internal package versions. | Commit lockfiles for all package manager roots and enforce frozen-lockfile installs. | Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows). | Add at least smoke/unit tests and enforce them in CI."
mercury-ai,32,P2,"node",6,0,0,0,1,0,false,"Replace workspace coupling with published internal package versions. | Commit lockfiles for all package manager roots and enforce frozen-lockfile installs. | Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows). | Add at least smoke/unit tests and enforce them in CI."
lunascene-ai,32,P2,"node",6,0,0,0,1,0,false,"Replace workspace coupling with published internal package versions. | Commit lockfiles for all package manager roots and enforce frozen-lockfile installs. | Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows). | Add at least smoke/unit tests and enforce them in CI."
lille-sc-ai,32,P2,"node",6,0,0,0,1,0,false,"Replace workspace coupling with published internal package versions. | Commit lockfiles for all package manager roots and enforce frozen-lockfile installs. | Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows). | Add at least smoke/unit tests and enforce them in CI."
iris-ai,32,P2,"node",6,0,0,0,1,0,false,"Replace workspace coupling with published internal package versions. | Commit lockfiles for all package manager roots and enforce frozen-lockfile installs. | Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows). | Add at least smoke/unit tests and enforce them in CI."
infrastructure,32,P2,"node",6,0,0,0,1,0,false,"Replace workspace coupling with published internal package versions. | Commit lockfiles for all package manager roots and enforce frozen-lockfile installs. | Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows). | Add at least smoke/unit tests and enforce them in CI."
infinity-portal,32,P2,"node",6,0,0,0,1,0,false,"Replace workspace coupling with published internal package versions. | Commit lockfiles for all package manager roots and enforce frozen-lockfile installs. | Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows). | Add at least smoke/unit tests and enforce them in CI."
guardian-ai,32,P2,"node",6,0,0,0,1,0,false,"Replace workspace coupling with published internal package versions. | Commit lockfiles for all package manager roots and enforce frozen-lockfile installs. | Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows). | Add at least smoke/unit tests and enforce them in CI."
echo-ai,32,P2,"node",6,0,0,0,1,0,false,"Replace workspace coupling with published internal package versions. | Commit lockfiles for all package manager roots and enforce frozen-lockfile installs. | Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows). | Add at least smoke/unit tests and enforce them in CI."
dorris-ai,32,P2,"node",6,0,0,0,1,0,false,"Replace workspace coupling with published internal package versions. | Commit lockfiles for all package manager roots and enforce frozen-lockfile installs. | Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows). | Add at least smoke/unit tests and enforce them in CI."
cornelius-ai,32,P2,"node",6,0,0,0,1,0,false,"Replace workspace coupling with published internal package versions. | Commit lockfiles for all package manager roots and enforce frozen-lockfile installs. | Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows). | Add at least smoke/unit tests and enforce them in CI."
chronos-ai,32,P2,"node",6,0,0,0,1,0,false,"Replace workspace coupling with published internal package versions. | Commit lockfiles for all package manager roots and enforce frozen-lockfile installs. | Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows). | Add at least smoke/unit tests and enforce them in CI."
central-plexus,32,P2,"node",6,0,0,0,1,0,false,"Replace workspace coupling with published internal package versions. | Commit lockfiles for all package manager roots and enforce frozen-lockfile installs. | Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows). | Add at least smoke/unit tests and enforce them in CI."
atlas-ai,32,P2,"node",6,0,0,0,1,0,false,"Replace workspace coupling with published internal package versions. | Commit lockfiles for all package manager roots and enforce frozen-lockfile installs. | Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows). | Add at least smoke/unit tests and enforce them in CI."
arcadia,32,P2,"node",6,0,0,0,1,0,false,"Replace workspace coupling with published internal package versions. | Commit lockfiles for all package manager roots and enforce frozen-lockfile installs. | Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows). | Add at least smoke/unit tests and enforce them in CI."
trancendos-ecosystem,31,P2,"node+python+jvm+container",1,0,152,3,0,2,true,"Pin GitHub Actions to immutable commit SHAs. | Replace wildcard/unpinned dependency specs with controlled version ranges or exact pins. | Set non-root USER in Dockerfiles. | Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows)."
example-cli-usage,31,P2,"go+ruby",3,0,7,0,0,0,false,"Pin GitHub Actions to immutable commit SHAs. | Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows). | Add at least smoke/unit tests and enforce them in CI."
actions-template-sync,31,P2,"container",1,0,19,0,0,0,false,"Pin GitHub Actions to immutable commit SHAs. | Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows). | Add at least smoke/unit tests and enforce them in CI."
smoke-tests,30,P2,"node+python+go+rust+jvm+ruby+php+container+terraform",3,0,4,4,1,4,true,"Pin GitHub Actions to immutable commit SHAs. | Replace wildcard/unpinned dependency specs with controlled version ranges or exact pins. | Commit lockfiles for all package manager roots and enforce frozen-lockfile installs. | Set non-root USER in Dockerfiles. | Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows)."
platform-samples,30,P2,"node+python+jvm+ruby+container",4,0,4,3,2,1,true,"Pin GitHub Actions to immutable commit SHAs. | Replace wildcard/unpinned dependency specs with controlled version ranges or exact pins. | Commit lockfiles for all package manager roots and enforce frozen-lockfile installs. | Set non-root USER in Dockerfiles. | Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows)."
skills-for-emu,28,P2,"unknown",4,0,4,0,0,0,false,"Pin GitHub Actions to immutable commit SHAs. | Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows). | Add at least smoke/unit tests and enforce them in CI."
cuda-toolkit,28,P2,"node",1,0,14,1,0,0,true,"Pin GitHub Actions to immutable commit SHAs. | Replace wildcard/unpinned dependency specs with controlled version ranges or exact pins. | Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows)."
bumpgen,28,P2,"node",3,0,2,1,0,0,true,"Pin GitHub Actions to immutable commit SHAs. | Replace wildcard/unpinned dependency specs with controlled version ranges or exact pins. | Replace workspace coupling with published internal package versions. | Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows)."
mime-db,27,P2,"node",2,0,9,0,1,0,true,"Pin GitHub Actions to immutable commit SHAs. | Commit lockfiles for all package manager roots and enforce frozen-lockfile installs. | Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows)."
Custom-AI-Jira-Agent,27,P2,"python+container",5,0,0,0,0,1,false,"Set non-root USER in Dockerfiles. | Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows). | Add at least smoke/unit tests and enforce them in CI."
qodo-ci,26,P2,"unknown",6,0,0,0,0,0,false,"Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows). | Add at least smoke/unit tests and enforce them in CI."
product-workshop,26,P2,"unknown",6,0,0,0,0,0,false,"Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows). | Add at least smoke/unit tests and enforce them in CI."
pr-compliance-templates,26,P2,"unknown",6,0,0,0,0,0,false,"Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows). | Add at least smoke/unit tests and enforce them in CI."
github-app-check-trigger,26,P2,"unknown",6,0,0,0,0,0,false,"Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows). | Add at least smoke/unit tests and enforce them in CI."
BBDC-App-Releases,26,P2,"unknown",6,0,0,0,0,0,false,"Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows). | Add at least smoke/unit tests and enforce them in CI."
auto-code-rover-action,26,P2,"unknown",6,0,0,0,0,0,false,"Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows). | Add at least smoke/unit tests and enforce them in CI."
ai-pr-reviewer,26,P2,"python",6,0,0,0,0,0,false,"Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows). | Add at least smoke/unit tests and enforce them in CI."
the-workshop,24,P3,"node",6,0,0,0,1,0,true,"Replace workspace coupling with published internal package versions. | Commit lockfiles for all package manager roots and enforce frozen-lockfile installs. | Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows)."
command,24,P3,"unknown",4,0,2,0,0,0,false,"Pin GitHub Actions to immutable commit SHAs. | Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows). | Add at least smoke/unit tests and enforce them in CI."
mcpmcp-server,23,P3,"unknown",5,0,0,0,0,0,false,"Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows). | Add at least smoke/unit tests and enforce them in CI."
aware-swe-agent,23,P3,"python",5,0,0,5,0,0,false,"Replace wildcard/unpinned dependency specs with controlled version ranges or exact pins. | Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows). | Add at least smoke/unit tests and enforce them in CI."
applied-ai-engineering-samples,23,P3,"python+container+terraform",3,0,1,25,0,1,false,"Pin GitHub Actions to immutable commit SHAs. | Replace wildcard/unpinned dependency specs with controlled version ranges or exact pins. | Set non-root USER in Dockerfiles. | Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows). | Add at least smoke/unit tests and enforce them in CI."
.github,23,P3,"unknown",5,0,0,0,0,0,false,"Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows). | Add at least smoke/unit tests and enforce them in CI."
demo,22,P3,"node+ruby",4,0,1,0,0,0,false,"Pin GitHub Actions to immutable commit SHAs. | Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows). | Add at least smoke/unit tests and enforce them in CI."
cayman,21,P3,"ruby",3,0,2,0,0,0,false,"Pin GitHub Actions to immutable commit SHAs. | Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows). | Add at least smoke/unit tests and enforce them in CI."
architect,21,P3,"ruby",3,0,2,0,0,0,false,"Pin GitHub Actions to immutable commit SHAs. | Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows). | Add at least smoke/unit tests and enforce them in CI."
dependabot-terraform-action,20,P3,"ruby+container+terraform",4,0,2,0,0,1,true,"Pin GitHub Actions to immutable commit SHAs. | Set non-root USER in Dockerfiles. | Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows)."
dependabot-kev-action,20,P3,"unknown",4,0,0,0,0,0,false,"Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows). | Add at least smoke/unit tests and enforce them in CI."
the-void,18,P3,"node",6,0,0,0,0,0,true,"Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows)."
dependabot-changesets,18,P3,"node",4,0,3,0,0,0,true,"Pin GitHub Actions to immutable commit SHAs. | Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows)."
combine-prs,18,P3,"node",2,0,6,0,0,0,true,"Pin GitHub Actions to immutable commit SHAs. | Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows)."
dinky,17,P3,"ruby",3,0,0,0,0,0,false,"Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows). | Add at least smoke/unit tests and enforce them in CI."
uv,16,P3,"python+rust+container",4,0,0,0,0,1,true,"Set non-root USER in Dockerfiles. | Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows)."
octokit-plugin-config,14,P3,"node",4,0,1,0,0,0,true,"Pin GitHub Actions to immutable commit SHAs. | Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows)."
github-action-merge-dependabot,14,P3,"node",3,0,1,0,0,0,true,"Pin GitHub Actions to immutable commit SHAs. | Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows)."
cli,11,P3,"go",1,0,0,0,0,0,false,"Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows). | Add at least smoke/unit tests and enforce them in CI."
app,9,P3,"node",3,0,0,0,0,0,true,"Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows)."
action-dependency-diff,9,P3,"node",3,0,0,0,0,0,true,"Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows)."
fetch-metadata,8,P3,"node",2,0,1,0,0,0,true,"Pin GitHub Actions to immutable commit SHAs. | Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows)."
dependency-review-action,8,P3,"node",0,0,4,0,0,0,true,"Pin GitHub Actions to immutable commit SHAs."
actions,6,P3,"node+jvm",2,0,0,0,0,0,true,"Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows)."
