repository,status,risk_score,default_branch,files_planned_count,files_planned,pr_url,reason
queen-ai,dry_run,32,main,5,"SECURITY.md | .github/CODEOWNERS | .github/dependabot.yml | .github/workflows/dependency-review.yml | .github/workflows/security-cve-scan.yml",,
prometheus-ai,dry_run,32,main,5,"SECURITY.md | .github/CODEOWNERS | .github/dependabot.yml | .github/workflows/dependency-review.yml | .github/workflows/security-cve-scan.yml",,
porter-family-ai,dry_run,32,main,5,"SECURITY.md | .github/CODEOWNERS | .github/dependabot.yml | .github/workflows/dependency-review.yml | .github/workflows/security-cve-scan.yml",,
oracle-ai,dry_run,32,main,5,"SECURITY.md | .github/CODEOWNERS | .github/dependabot.yml | .github/workflows/dependency-review.yml | .github/workflows/security-cve-scan.yml",,
nexus-ai,dry_run,32,main,5,"SECURITY.md | .github/CODEOWNERS | .github/dependabot.yml | .github/workflows/dependency-review.yml | .github/workflows/security-cve-scan.yml",,
mercury-ai,dry_run,32,main,5,"SECURITY.md | .github/CODEOWNERS | .github/dependabot.yml | .github/workflows/dependency-review.yml | .github/workflows/security-cve-scan.yml",,
lunascene-ai,dry_run,32,main,5,"SECURITY.md | .github/CODEOWNERS | .github/dependabot.yml | .github/workflows/dependency-review.yml | .github/workflows/security-cve-scan.yml",,
lille-sc-ai,dry_run,32,main,5,"SECURITY.md | .github/CODEOWNERS | .github/dependabot.yml | .github/workflows/dependency-review.yml | .github/workflows/security-cve-scan.yml",,
iris-ai,dry_run,32,main,5,"SECURITY.md | .github/CODEOWNERS | .github/dependabot.yml | .github/workflows/dependency-review.yml | .github/workflows/security-cve-scan.yml",,
infrastructure,dry_run,32,main,5,"SECURITY.md | .github/CODEOWNERS | .github/dependabot.yml | .github/workflows/dependency-review.yml | .github/workflows/security-cve-scan.yml",,
infinity-portal,dry_run,32,main,5,"SECURITY.md | .github/CODEOWNERS | .github/dependabot.yml | .github/workflows/dependency-review.yml | .github/workflows/security-cve-scan.yml",,
guardian-ai,dry_run,32,main,5,"SECURITY.md | .github/CODEOWNERS | .github/dependabot.yml | .github/workflows/dependency-review.yml | .github/workflows/security-cve-scan.yml",,
echo-ai,dry_run,32,main,5,"SECURITY.md | .github/CODEOWNERS | .github/dependabot.yml | .github/workflows/dependency-review.yml | .github/workflows/security-cve-scan.yml",,
dorris-ai,dry_run,32,main,5,"SECURITY.md | .github/CODEOWNERS | .github/dependabot.yml | .github/workflows/dependency-review.yml | .github/workflows/security-cve-scan.yml",,
cornelius-ai,dry_run,32,main,5,"SECURITY.md | .github/CODEOWNERS | .github/dependabot.yml | .github/workflows/dependency-review.yml | .github/workflows/security-cve-scan.yml",,
chronos-ai,dry_run,32,main,5,"SECURITY.md | .github/CODEOWNERS | .github/dependabot.yml | .github/workflows/dependency-review.yml | .github/workflows/security-cve-scan.yml",,
central-plexus,dry_run,32,main,5,"SECURITY.md | .github/CODEOWNERS | .github/dependabot.yml | .github/workflows/dependency-review.yml | .github/workflows/security-cve-scan.yml",,
atlas-ai,dry_run,32,main,5,"SECURITY.md | .github/CODEOWNERS | .github/dependabot.yml | .github/workflows/dependency-review.yml | .github/workflows/security-cve-scan.yml",,
trancendos-ecosystem,dry_run,31,main,2,".github/CODEOWNERS | .github/workflows/dependency-review.yml",,
